timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-06 09:13:10,0,174988,27020,1072,132
2026-08-06 09:13:21,0,174988,27020,1072,132
2026-08-06 09:13:33,0,174988,27020,1072,132
2026-08-06 09:13:45,0,174988,27020,1072,132
2026-08-06 09:13:57,0,174988,27020,1072,132
2026-08-06 09:14:08,0,174988,27020,1072,132
2026-08-06 09:14:20,1,174988,27020,1072,132
2026-08-06 09:14:32,1,174988,27020,1072,132
2026-08-06 09:14:44,1,174988,27020,1072,132
2026-08-06 09:14:55,1,174988,27020,1072,132
2026-08-06 09:15:07,1,174988,27020,1072,132
2026-08-06 09:15:19,2,174988,27020,1072,132
2026-08-06 09:15:31,2,174988,27020,1072,132
2026-08-06 09:15:43,2,174988,27020,1072,132
2026-08-06 09:15:55,2,174988,27020,1072,132
2026-08-06 09:16:07,2,174988,27020,1072,132
2026-08-06 09:16:18,3,174988,27020,1072,132
2026-08-06 09:16:30,3,174988,27020,1072,132
2026-08-06 09:16:42,3,174988,27020,1072,132
2026-08-06 09:16:54,3,174988,27020,1072,132
2026-08-06 09:17:07,3,174988,27020,1072,132
2026-08-06 09:17:30,4,174988,27020,1072,132
2026-08-06 09:17:42,4,174988,27020,1072,132
2026-08-06 09:17:55,4,174988,27020,1072,132
2026-08-06 09:18:07,4,174988,27020,1072,132
2026-08-06 09:18:19,5,174988,27020,1072,132
2026-08-06 09:18:31,5,174988,27020,1072,132
2026-08-06 09:18:44,5,174988,27020,1072,132
2026-08-06 09:18:56,5,174988,27020,1072,132
2026-08-06 09:19:08,5,174988,27020,1072,132
2026-08-06 09:19:21,6,174988,27020,1072,132
2026-08-06 09:19:33,6,174988,27020,1072,132
2026-08-06 09:19:45,6,174988,27020,1072,132
2026-08-06 09:19:57,6,174988,27020,1072,132
2026-08-06 09:20:09,6,174988,27020,1072,132
2026-08-06 09:20:21,7,178176,27080,3236,132
2026-08-06 09:20:33,7,178176,27224,3236,132
2026-08-06 09:20:45,7,178176,27360,3236,132
2026-08-06 09:20:57,7,178176,27440,3236,132
2026-08-06 09:21:09,7,178176,27676,3236,132
2026-08-06 09:21:21,8,178068,27800,3128,132
2026-08-06 09:21:33,8,178176,27976,3236,132
2026-08-06 09:21:45,8,178176,28140,3236,132
2026-08-06 09:21:57,8,178176,28224,3236,132
2026-08-06 09:22:09,8,178176,28436,3236,132
2026-08-06 09:22:21,9,178176,28592,3236,132
2026-08-06 09:22:33,9,178176,28776,3236,132
2026-08-06 09:22:45,9,178176,28916,3236,132
2026-08-06 09:22:57,9,178176,29064,3236,132
2026-08-06 09:23:09,9,178176,29224,3236,132
2026-08-06 09:23:21,10,178176,29396,3236,132
2026-08-06 09:23:33,10,178176,29556,3236,132
2026-08-06 09:23:45,10,178176,29724,3236,132
2026-08-06 09:23:57,10,178176,29860,3236,132
2026-08-06 09:24:09,10,178176,30004,3236,132
2026-08-06 09:24:21,11,178176,30196,3236,132
2026-08-06 09:24:33,11,178176,30348,3236,132
2026-08-06 09:24:45,11,178176,30484,3236,132
2026-08-06 09:24:57,11,178176,30636,3236,132
2026-08-06 09:25:10,12,178176,30768,3236,132
2026-08-06 09:25:22,12,178048,30868,3108,132
2026-08-06 09:25:33,12,178176,31088,3236,132
2026-08-06 09:25:46,12,178176,31216,3236,132
2026-08-06 09:25:58,12,178176,31368,3236,132
2026-08-06 09:26:10,13,178176,31528,3236,132
2026-08-06 09:26:22,13,178048,31616,3108,132
2026-08-06 09:26:34,13,178176,31832,3236,132
2026-08-06 09:26:46,13,178176,31988,3236,132
2026-08-06 09:26:58,13,178176,32128,3236,132
2026-08-06 09:27:09,13,178176,32296,3236,132
2026-08-06 09:27:22,14,178176,32464,3236,132
2026-08-06 09:27:34,14,178176,32632,3236,132
2026-08-06 09:27:46,14,178176,32768,3236,132
2026-08-06 09:27:57,14,178176,32952,3236,132
2026-08-06 09:28:09,14,178112,33056,3172,132
2026-08-06 09:28:21,15,178176,33308,3236,132
2026-08-06 09:28:34,15,178176,33480,3236,132
2026-08-06 09:28:46,15,178176,33608,3236,132
2026-08-06 09:28:58,15,178176,33724,3236,132
2026-08-06 09:29:10,16,178176,33904,3236,132
2026-08-06 09:29:22,16,178176,34028,3236,132
2026-08-06 09:29:34,16,178176,34144,3236,132
2026-08-06 09:29:46,16,178176,34288,3236,132
2026-08-06 09:29:58,16,178176,34440,3236,132
2026-08-06 09:30:10,17,178176,34544,3236,132
2026-08-06 09:30:22,17,178176,34664,3236,132
2026-08-06 09:30:34,17,178176,34796,3236,132
2026-08-06 09:30:46,17,178176,34920,3236,132
2026-08-06 09:30:58,17,178176,35032,3236,132
2026-08-06 09:31:10,18,178176,35176,3236,132
2026-08-06 09:31:22,18,178176,35328,3236,132
2026-08-06 09:31:34,18,178176,35468,3236,132
2026-08-06 09:31:47,18,178176,35592,3236,132
2026-08-06 09:31:59,18,178176,35712,3236,132
2026-08-06 09:32:11,19,178176,35852,3236,132
2026-08-06 09:32:24,19,178176,35996,3236,132
2026-08-06 09:32:36,19,178176,36080,3236,132
2026-08-06 09:32:48,19,178176,36256,3236,132
2026-08-06 09:33:00,19,178176,36416,3236,132
2026-08-06 09:33:13,20,178176,36492,3236,132
2026-08-06 09:33:25,20,178112,36692,3172,132
2026-08-06 09:33:36,20,178176,36952,3236,132
2026-08-06 09:33:48,20,178176,37196,3236,132
2026-08-06 09:33:59,20,178176,37436,3236,132
2026-08-06 09:34:11,21,178176,37668,3236,132
2026-08-06 09:34:22,21,178176,37932,3236,132
2026-08-06 09:34:34,21,178176,38176,3236,132
2026-08-06 09:34:45,21,178176,38432,3236,132
2026-08-06 09:34:57,21,178176,38640,3236,132
2026-08-06 09:35:09,21,178176,38896,3236,132
2026-08-06 09:35:20,22,178112,39100,3172,132
2026-08-06 09:35:32,22,178176,39376,3236,132
2026-08-06 09:35:43,22,178176,39628,3236,132
2026-08-06 09:35:55,22,178176,39828,3236,132
2026-08-06 09:36:06,22,178176,40092,3236,132
2026-08-06 09:36:18,23,178176,40352,3236,132
2026-08-06 09:36:29,23,178176,40596,3236,132
2026-08-06 09:36:41,23,178176,40832,3236,132
2026-08-06 09:36:52,23,178048,40964,3108,132
2026-08-06 09:37:04,23,178176,41288,3236,132
2026-08-06 09:37:15,24,178176,41624,3236,132
2026-08-06 09:37:27,24,178176,41848,3236,132
2026-08-06 09:37:38,24,178176,42088,3236,132
2026-08-06 09:37:50,24,178176,42264,3236,132
2026-08-06 09:38:01,24,178176,42536,3236,132
