timestamp,elapsed_min,disk_mb
2026-08-05 09:11:42,0,49
2026-08-05 09:11:54,0,49
2026-08-05 09:12:07,0,49
2026-08-05 09:12:20,0,50
2026-08-05 09:12:33,0,50
2026-08-05 09:12:47,1,50
2026-08-05 09:13:00,1,50
2026-08-05 09:13:13,1,50
2026-08-05 09:13:26,1,51
2026-08-05 09:13:39,1,51
2026-08-05 09:13:52,2,51
2026-08-05 09:14:06,2,51
2026-08-05 09:14:19,2,51
2026-08-05 09:14:33,2,52
2026-08-05 09:14:47,3,52
2026-08-05 09:15:00,3,52
2026-08-05 09:15:14,3,52
2026-08-05 09:15:27,3,52
2026-08-05 09:15:40,3,52
2026-08-05 09:15:53,4,52
2026-08-05 09:16:06,4,50
2026-08-05 09:16:18,4,50
2026-08-05 09:16:31,4,50
2026-08-05 09:16:44,5,66
2026-08-05 09:16:57,5,66
2026-08-05 09:17:10,5,66
2026-08-05 09:17:23,5,66
2026-08-05 09:17:36,5,66
2026-08-05 09:17:49,6,66
2026-08-05 09:18:02,6,66
2026-08-05 09:18:15,6,66
2026-08-05 09:18:41,6,66
2026-08-05 09:18:54,7,67
2026-08-05 09:19:07,7,67
2026-08-05 09:19:32,7,67
2026-08-05 09:19:45,8,67
2026-08-05 09:19:58,8,67
2026-08-05 09:20:10,8,67
2026-08-05 09:20:23,8,67
2026-08-05 09:20:36,8,68
2026-08-05 09:20:49,9,68
2026-08-05 09:21:02,9,68
2026-08-05 09:21:16,9,68
2026-08-05 09:21:29,9,68
2026-08-05 09:21:42,10,68
2026-08-05 09:21:55,10,68
2026-08-05 09:22:08,10,68
2026-08-05 09:22:21,10,68
2026-08-05 09:22:35,10,68
2026-08-05 09:22:47,11,68
2026-08-05 09:23:01,11,68
2026-08-05 09:23:14,11,68
2026-08-05 09:23:28,11,68
2026-08-05 09:23:41,11,69
2026-08-05 09:23:55,12,69
2026-08-05 09:24:07,12,69
2026-08-05 09:24:21,12,69
2026-08-05 09:24:33,12,69
2026-08-05 09:24:46,13,69
2026-08-05 09:25:00,13,69
2026-08-05 09:25:12,13,69
2026-08-05 09:25:25,13,70
2026-08-05 09:25:38,13,70
2026-08-05 09:25:51,14,70
2026-08-05 09:26:04,14,70
2026-08-05 09:26:17,14,71
2026-08-05 09:26:29,14,71
2026-08-05 09:26:41,14,71
2026-08-05 09:26:55,15,71
2026-08-05 09:27:08,15,71
2026-08-05 09:27:21,15,71
2026-08-05 09:27:35,15,71
2026-08-05 09:27:48,16,71
2026-08-05 09:28:01,16,71
2026-08-05 09:28:13,16,71
2026-08-05 09:28:26,16,71
2026-08-05 09:28:39,16,71
2026-08-05 09:28:52,17,71
2026-08-05 09:29:05,17,71
2026-08-05 09:29:17,17,72
2026-08-05 09:29:30,17,72
2026-08-05 09:29:42,18,72
2026-08-05 09:29:55,18,72
2026-08-05 09:30:08,18,72
2026-08-05 09:30:20,18,72
2026-08-05 09:30:33,18,72
2026-08-05 09:30:46,19,72
2026-08-05 09:30:58,19,72
2026-08-05 09:31:11,19,72
2026-08-05 09:31:24,19,73
2026-08-05 09:31:37,19,73
2026-08-05 09:31:50,20,73
2026-08-05 09:32:02,20,73
2026-08-05 09:32:14,20,73
2026-08-05 09:32:26,20,73
2026-08-05 09:32:38,20,73
2026-08-05 09:32:50,21,73
2026-08-05 09:33:02,21,73
2026-08-05 09:33:14,21,73
2026-08-05 09:33:26,21,73
2026-08-05 09:33:38,21,73
2026-08-05 09:33:50,22,73
2026-08-05 09:34:02,22,73
2026-08-05 09:34:14,22,73
2026-08-05 09:34:26,22,73
2026-08-05 09:34:38,22,75
2026-08-05 09:34:50,23,77
2026-08-05 09:35:03,23,78
2026-08-05 09:35:15,23,78
2026-08-05 09:35:27,23,78
2026-08-05 09:35:38,23,78
2026-08-05 09:35:51,24,78
2026-08-05 09:36:03,24,78
2026-08-05 09:36:15,24,78
2026-08-05 09:36:27,24,78
2026-08-05 09:36:39,24,78
