timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 13:37:46,22,6283912,704728,1069108,132
2026-08-05 13:37:57,22,6283912,704728,1069108,132
2026-08-05 13:38:09,22,6283912,704728,1069108,132
2026-08-05 13:38:20,22,6283912,704728,1069108,132
2026-08-05 13:38:32,22,6283912,704728,1069108,132
2026-08-05 13:38:44,23,6283912,704728,1069108,132
2026-08-05 13:38:56,23,6283912,704728,1069108,132
2026-08-05 13:39:07,23,6283912,704728,1069108,132
2026-08-05 13:39:19,23,6283912,704728,1069108,132
2026-08-05 13:39:31,23,6283912,704728,1069108,132
2026-08-05 13:39:42,24,6283912,704728,1069108,132
2026-08-05 13:39:54,24,6283912,705360,1069740,132
2026-08-05 13:40:05,24,6283912,705360,1069740,132
2026-08-05 13:40:17,24,6283912,705360,1069740,132
2026-08-05 13:40:29,24,6283912,705360,1069740,132
